Psycho-Pass,"Tsunemori, Akane"
,
Psycho-Pass 2,"Tsunemori, Akane"
,
Psycho-Pass 3,"Tsunemori, Akane"
,
Psycho-Pass 3: First Inspector,"Tsunemori, Akane"
,
Psycho-Pass Movie,"Tsunemori, Akane"
,
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,"Tsunemori, Akane"
,
Psycho-Pass: Sinners of the System Case.2 - First Guardian,"Tsunemori, Akane"
,
Rewrite,Kagari
,
Rewrite 2nd Season,Kagari
,
Ro-Kyu-Bu!,"Minato, Tomoka"
,
Ro-Kyu-Bu! SS,"Minato, Tomoka"
,
Ro-Kyu-Bu! SS Recap,"Minato, Tomoka"
,
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,"Minato, Tomoka"
,
Ryuugajou Nanana no Maizoukin (TV),"Hoshino, Daruku"
,
Saki Achiga-hen: Episode of Side-A,"Matsumi, Kuro"
,
Saki Achiga-hen: Episode of Side-A Specials,"Matsumi, Kuro"
,
Saki Zenkoku-hen,"Matsumi, Kuro"
,
Sakurada Reset,"Haruki, Misora"
,
Sasami-san@Ganbaranai,"Yagami, Kagami"
,
Schoolgirl Strikers: Animation Channel,"Sajima, Yuumi"
,
Seikimatsu Occult Gakuin,"Naruse, Kozue"
,
Seikimatsu Occult Gakuin Specials,"Naruse, Kozue"
,
Seikoku no Dragonar,"Valentine, Jessica"
,
Seikon no Qwaser,"Mitarai, Fumika"
,
Seikon no Qwaser II,"Mitarai, Fumika"
,
Seikon no Qwaser Picture Drama,"Mitarai, Fumika"
,
Seikon no Qwaser: Jotei no Shouzou,"Mitarai, Fumika"
,
Sekai de Ichiban Tsuyoku Naritai!,"Sanada, Juri"
,
Sekai de Ichiban Tsuyoku Naritai! Specials,"Sanada, Juri"
,
Sekai Seifuku: Bouryaku no Zvezda,"Vasylchenko, Natalia"
,
Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,"Vasylchenko, Natalia"
,
Sekirei,Kusano
,
Sekirei: Hajimete no Otsukai,Kusano
,
Sekirei: Pure Engagement,Kusano
,
Sekirei: Pure Engagement Episode 0,Kusano
,
Sengoku Collection,"Tokugawa, Ieyasu"
,
Senryuu Shoujo,"Yukishiro, Nanako"
,
Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,"Marces, Marple Mashu"
,
Shinsekai yori,"Akizuki, Maria"
,
Shirokuma Cafe,"Panda, Mei Mei"
,
Shisha no Teikoku,"Lilith, Hadaly"
,
Shokugeki no Souma: Ni no Sara OVA,"Kinokuni, Nene"
,
Shokugeki no Souma: San no Sara,"Kinokuni, Nene"
,
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"Kinokuni, Nene"
,
Shokugeki no Souma: Shin no Sara,"Kinokuni, Nene"
,
Shoujo Shuumatsu Ryokou,Nuko
,
Shoujo-tachi wa Kouya wo Mezasu,"Kobayakawa, Yuuka"
,
Shoujo-tachi wa Kouya wo Mezasu: Iubeki Monokashira,"Kobayakawa, Yuuka"
,
Shoumetsu Toshi,Yuki
,
Shuumatsu no Izetta,"Friedmann, Elvira"
,
SKET Dance,"Agata, Saaya"
,
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,"Agata, Saaya"
,
Sketchbook: Full Color's,"Kajiwara, Sora"
,
Sora no Manimani,"An, Yukie"
,
Sora yori mo Tooi Basho,"Kobuchizawa, Shirase"
,
Sousei no Aquarion Evol,"Wong, Zessica"
,
Space☆Dandy,Adélie
,
Steins;Gate,"Shiina, Mayuri"
,
Steins;Gate 0,"Shiina, Mayuri"
,
Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,"Shiina, Mayuri"
,
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Shiina, Mayuri"
,
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Shiina, Mayuri"
,
Steins;Gate: Oukoubakko no Poriomania,"Shiina, Mayuri"
,
Steins;Gate: Soumei Eichi no Cognitive Computing,"Shiina, Mayuri"
,
Strike Witches,"Suwa, Amaki"
,
Strike Witches 2,"Suwa, Amaki"
,
Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,"Fujieda, Sakura"
,
Takamiya Nasuno Desu!: Teekyuu Spin-off,"Bandou, Marimo"
,
Teekyuu,"Bandou, Marimo"
,
Teekyuu 2,"Bandou, Marimo"
,
Teekyuu 2 Specials,"Bandou, Marimo"
,
Teekyuu 3,"Bandou, Marimo"
,
Teekyuu 3 Specials,"Bandou, Marimo"
,
Teekyuu 4,"Bandou, Marimo"
,
Teekyuu 5,"Bandou, Marimo"
,
Teekyuu 6,"Bandou, Marimo"
,
Teekyuu 7,"Bandou, Marimo"
,
Teekyuu 8,"Bandou, Marimo"
,
